1	33	612
2	262	63
3	113	179
4	153	117
5	167	79
6	170	164
7	612	152
8	580	185
9	573	1157
10	99	82
11	97	104
12	91	125
13	507	37
14	526	37
15	272	609
16	283	564
17	277	539
18	254	538
19	259	30
20	284	32
21	610	53
22	417	76
23	686	231
24	187	49
25	687	193
26	519	123
27	253	393
28	145	286
29	147	380
30	225	346
31	273	151
32	710	380
33	430	213
34	431	141
35	385	402
36	380	442
37	252	424
38	210	499
39	603	363
40	600	428
41	595	277
42	456	307
43	627	119
44	33	682
45	511	89
46	544	59
47	248	277
48	140	283
49	562	494
50	402	511
51	449	433
52	520	493
53	136	432
54	191	431
55	125 513
56	157	558
57	178	659
58	273	300
